Object.Slot,Timestep,Slot Value
Analisis.Demanda Monterrey,02-29-2016 23:59:00,13.6255
Analisis.Demanda Monterrey,03-31-2016 23:59:00,13.5805
Analisis.Demanda Monterrey,04-30-2016 23:59:00,14.8582
Analisis.Demanda Monterrey,05-31-2016 23:59:00,15.1603
Analisis.Demanda Monterrey,06-30-2016 23:59:00,15.8862
Analisis.Demanda Monterrey,07-31-2016 23:59:00,16.3621
Analisis.Demanda Monterrey,08-31-2016 23:59:00,16.9863
Analisis.Demanda Monterrey,09-30-2016 23:59:00,16.3638
Analisis.Demanda Monterrey,10-31-2016 23:59:00,16.0911
Analisis.Demanda Monterrey,11-30-2016 23:59:00,15.7277
Analisis.Demanda Monterrey,12-31-2016 23:59:00,14.7553
Analisis.Demanda Monterrey,01-31-2017 23:59:00,15.5205
Analisis.Demanda Monterrey,02-28-2017 23:59:00,14.6395
Analisis.Demanda Monterrey,03-31-2017 23:59:00,14.5592
Analisis.Demanda Monterrey,04-30-2017 23:59:00,15.7414
Analisis.Demanda Monterrey,05-31-2017 23:59:00,16.1621
Analisis.Demanda Monterrey,06-30-2017 23:59:00,16.839
Analisis.Demanda Monterrey,07-31-2017 23:59:00,17.1523
Analisis.Demanda Monterrey,08-31-2017 23:59:00,17.8349
Analisis.Demanda Monterrey,09-30-2017 23:59:00,17.3205
Analisis.Demanda Monterrey,10-31-2017 23:59:00,16.8164
Analisis.Demanda Monterrey,11-30-2017 23:59:00,16.6589
Analisis.Demanda Monterrey,12-31-2017 23:59:00,15.6471
Analisis.Demanda Monterrey,01-31-2018 23:59:00,16.3719
Analisis.Demanda Monterrey,02-28-2018 23:59:00,15.537
Analisis.Demanda Monterrey,03-31-2018 23:59:00,15.3445
Analisis.Demanda Monterrey,04-30-2018 23:59:00,16.5419
Analisis.Demanda Monterrey,05-31-2018 23:59:00,16.9108
Analisis.Demanda Monterrey,06-30-2018 23:59:00,17.5758
Analisis.Demanda Monterrey,07-31-2018 23:59:00,17.9084
Analisis.Demanda Monterrey,08-31-2018 23:59:00,18.4598
Analisis.Demanda Monterrey,09-30-2018 23:59:00,18.1266
Analisis.Demanda Monterrey,10-31-2018 23:59:00,17.6541
Analisis.Demanda Monterrey,11-30-2018 23:59:00,17.3294
Analisis.Demanda Monterrey,12-31-2018 23:59:00,16.382
Analisis.Demanda Monterrey,01-31-2019 23:59:00,17.0682
Analisis.Demanda Monterrey,02-28-2019 23:59:00,16.174
Analisis.Demanda Monterrey,03-31-2019 23:59:00,16.0619
Analisis.Demanda Monterrey,04-30-2019 23:59:00,17.1401
Analisis.Demanda Monterrey,05-31-2019 23:59:00,17.5624
Analisis.Demanda Monterrey,06-30-2019 23:59:00,18.1092
Analisis.Demanda Monterrey,07-31-2019 23:59:00,18.4266
Analisis.Demanda Monterrey,08-31-2019 23:59:00,19.0055
Analisis.Demanda Monterrey,09-30-2019 23:59:00,18.4692
Analisis.Demanda Monterrey,10-31-2019 23:59:00,18.0235
Analisis.Demanda Monterrey,11-30-2019 23:59:00,17.8505
Analisis.Demanda Monterrey,12-31-2019 23:59:00,16.846
Analisis.Demanda Monterrey,01-31-2020 23:59:00,17.4381
Analisis.Demanda Monterrey,02-29-2020 23:59:00,17.5188
Analisis.Demanda Monterrey,03-31-2020 23:59:00,16.5601
Analisis.Demanda Monterrey,04-30-2020 23:59:00,16.3651
Analisis.Demanda Monterrey,05-31-2020 23:59:00,17.7722
Analisis.Demanda Monterrey,06-30-2020 23:59:00,18.1693
Analisis.Demanda Monterrey,07-31-2020 23:59:00,18.6939
Analisis.Demanda Monterrey,08-31-2020 23:59:00,19.2363
Analisis.Demanda Monterrey,09-30-2020 23:59:00,18.9326
Analisis.Demanda Monterrey,10-31-2020 23:59:00,18.3816
Analisis.Demanda Monterrey,11-30-2020 23:59:00,18.2326
Analisis.Demanda Monterrey,12-31-2020 23:59:00,17.2396
Analisis.Demanda Monterrey,01-31-2021 23:59:00,17.9354
Analisis.Demanda Monterrey,02-28-2021 23:59:00,17.1075
Analisis.Demanda Monterrey,03-31-2021 23:59:00,16.8562
Analisis.Demanda Monterrey,04-30-2021 23:59:00,18.1116
Analisis.Demanda Monterrey,05-31-2021 23:59:00,18.4849
Analisis.Demanda Monterrey,06-30-2021 23:59:00,18.9871
Analisis.Demanda Monterrey,07-31-2021 23:59:00,19.412
Analisis.Demanda Monterrey,08-31-2021 23:59:00,20.1124
Analisis.Demanda Monterrey,09-30-2021 23:59:00,19.458
Analisis.Demanda Monterrey,10-31-2021 23:59:00,19.2211
Analisis.Demanda Monterrey,11-30-2021 23:59:00,18.9434
Analisis.Demanda Monterrey,12-31-2021 23:59:00,17.8519
Analisis.Demanda Monterrey,01-31-2022 23:59:00,18.6784
Analisis.Demanda Monterrey,02-28-2022 23:59:00,17.9533
Analisis.Demanda Monterrey,03-31-2022 23:59:00,17.6925
Analisis.Demanda Monterrey,04-30-2022 23:59:00,18.8602
Analisis.Demanda Monterrey,05-31-2022 23:59:00,19.2687
Analisis.Demanda Monterrey,06-30-2022 23:59:00,19.7285
Analisis.Demanda Monterrey,07-31-2022 23:59:00,20.1224
Analisis.Demanda Monterrey,08-31-2022 23:59:00,20.6097
Analisis.Demanda Monterrey,09-30-2022 23:59:00,20.0598
Analisis.Demanda Monterrey,10-31-2022 23:59:00,19.904
Analisis.Demanda Monterrey,11-30-2022 23:59:00,19.6348
Analisis.Demanda Monterrey,12-31-2022 23:59:00,18.6558
Analisis.Demanda Monterrey,01-31-2023 23:59:00,19.3404
Analisis.Demanda Monterrey,02-28-2023 23:59:00,18.7435
Analisis.Demanda Monterrey,03-31-2023 23:59:00,18.3898
Analisis.Demanda Monterrey,04-30-2023 23:59:00,19.5324
Analisis.Demanda Monterrey,05-31-2023 23:59:00,19.7911
Analisis.Demanda Monterrey,06-30-2023 23:59:00,20.3196
Analisis.Demanda Monterrey,07-31-2023 23:59:00,20.628
Analisis.Demanda Monterrey,08-31-2023 23:59:00,21.1517
Analisis.Demanda Monterrey,09-30-2023 23:59:00,20.7453
Analisis.Demanda Monterrey,10-31-2023 23:59:00,20.3704
Analisis.Demanda Monterrey,11-30-2023 23:59:00,20.0765
Analisis.Demanda Monterrey,12-31-2023 23:59:00,19.2232
Analisis.Demanda Monterrey,01-31-2024 23:59:00,19.7913
Analisis.Demanda Monterrey,02-29-2024 23:59:00,18.9947
Analisis.Demanda Monterrey,03-31-2024 23:59:00,18.8441
Analisis.Demanda Monterrey,04-30-2024 23:59:00,19.8116
Analisis.Demanda Monterrey,05-31-2024 23:59:00,20.2721
Analisis.Demanda Monterrey,06-30-2024 23:59:00,20.7078
Analisis.Demanda Monterrey,07-31-2024 23:59:00,20.987
Analisis.Demanda Monterrey,08-31-2024 23:59:00,21.5205
Analisis.Demanda Monterrey,09-30-2024 23:59:00,21.0475
Analisis.Demanda Monterrey,10-31-2024 23:59:00,20.414
Analisis.Demanda Monterrey,11-30-2024 23:59:00,20.3959
Analisis.Demanda Monterrey,12-31-2024 23:59:00,19.4744
Analisis.Demanda Monterrey,01-31-2025 23:59:00,20.3078
Analisis.Demanda Monterrey,02-28-2025 23:59:00,19.4994
Analisis.Demanda Monterrey,03-31-2025 23:59:00,19.3748
Analisis.Demanda Monterrey,04-30-2025 23:59:00,20.4707
Analisis.Demanda Monterrey,05-31-2025 23:59:00,20.867
Analisis.Demanda Monterrey,06-30-2025 23:59:00,21.1771
Analisis.Demanda Monterrey,07-31-2025 23:59:00,21.6359
Analisis.Demanda Monterrey,08-31-2025 23:59:00,22.2321
Analisis.Demanda Monterrey,09-30-2025 23:59:00,21.6399
Analisis.Demanda Monterrey,10-31-2025 23:59:00,21.2078
Analisis.Demanda Monterrey,11-30-2025 23:59:00,20.9903
Analisis.Demanda Monterrey,12-31-2025 23:59:00,20.0217
Analisis.Demanda Monterrey,01-31-2026 23:59:00,10.9084
Analisis.Demanda Monterrey,02-28-2026 23:59:00,9.94232
Analisis.Demanda Monterrey,03-31-2026 23:59:00,9.78256
Analisis.Demanda Monterrey,04-30-2026 23:59:00,10.8492
Analisis.Demanda Monterrey,05-31-2026 23:59:00,11.0838
Analisis.Demanda Monterrey,06-30-2026 23:59:00,11.6776
Analisis.Demanda Monterrey,07-31-2026 23:59:00,12.0386
Analisis.Demanda Monterrey,08-31-2026 23:59:00,12.5439
Analisis.Demanda Monterrey,09-30-2026 23:59:00,11.9148
Analisis.Demanda Monterrey,10-31-2026 23:59:00,11.4996
Analisis.Demanda Monterrey,11-30-2026 23:59:00,11.1754
Analisis.Demanda Monterrey,12-31-2026 23:59:00,10.3153
Analisis.Oferta Monterrey,02-29-2016 23:59:00,13.6255
Analisis.Oferta Monterrey,03-31-2016 23:59:00,13.5805
Analisis.Oferta Monterrey,04-30-2016 23:59:00,14.8582
Analisis.Oferta Monterrey,05-31-2016 23:59:00,15.1603
Analisis.Oferta Monterrey,06-30-2016 23:59:00,15.8862
Analisis.Oferta Monterrey,07-31-2016 23:59:00,16.158
Analisis.Oferta Monterrey,08-31-2016 23:59:00,16.158
Analisis.Oferta Monterrey,09-30-2016 23:59:00,16.158
Analisis.Oferta Monterrey,10-31-2016 23:59:00,16.0911
Analisis.Oferta Monterrey,11-30-2016 23:59:00,15.7277
Analisis.Oferta Monterrey,12-31-2016 23:59:00,14.7553
Analisis.Oferta Monterrey,01-31-2017 23:59:00,15.5205
Analisis.Oferta Monterrey,02-28-2017 23:59:00,14.6395
Analisis.Oferta Monterrey,03-31-2017 23:59:00,14.5592
Analisis.Oferta Monterrey,04-30-2017 23:59:00,15.7414
Analisis.Oferta Monterrey,05-31-2017 23:59:00,16.158
Analisis.Oferta Monterrey,06-30-2017 23:59:00,16.158
Analisis.Oferta Monterrey,07-31-2017 23:59:00,16.158
Analisis.Oferta Monterrey,08-31-2017 23:59:00,16.158
Analisis.Oferta Monterrey,09-30-2017 23:59:00,16.158
Analisis.Oferta Monterrey,10-31-2017 23:59:00,16.158
Analisis.Oferta Monterrey,11-30-2017 23:59:00,16.158
Analisis.Oferta Monterrey,12-31-2017 23:59:00,15.6471
Analisis.Oferta Monterrey,01-31-2018 23:59:00,15.238
Analisis.Oferta Monterrey,02-28-2018 23:59:00,15.238
Analisis.Oferta Monterrey,03-31-2018 23:59:00,15.238
Analisis.Oferta Monterrey,04-30-2018 23:59:00,15.238
Analisis.Oferta Monterrey,05-31-2018 23:59:00,12.5014
Analisis.Oferta Monterrey,06-30-2018 23:59:00,10.7207
Analisis.Oferta Monterrey,07-31-2018 23:59:00,10.3991
Analisis.Oferta Monterrey,08-31-2018 23:59:00,12.6663
Analisis.Oferta Monterrey,09-30-2018 23:59:00,13.8883
Analisis.Oferta Monterrey,10-31-2018 23:59:00,16.158
Analisis.Oferta Monterrey,11-30-2018 23:59:00,16.158
Analisis.Oferta Monterrey,12-31-2018 23:59:00,16.158
Analisis.Oferta Monterrey,01-31-2019 23:59:00,16.158
Analisis.Oferta Monterrey,02-28-2019 23:59:00,16.158
Analisis.Oferta Monterrey,03-31-2019 23:59:00,16.0619
Analisis.Oferta Monterrey,04-30-2019 23:59:00,16.158
Analisis.Oferta Monterrey,05-31-2019 23:59:00,16.158
Analisis.Oferta Monterrey,06-30-2019 23:59:00,16.158
Analisis.Oferta Monterrey,07-31-2019 23:59:00,16.158
Analisis.Oferta Monterrey,08-31-2019 23:59:00,16.158
Analisis.Oferta Monterrey,09-30-2019 23:59:00,12.3302
Analisis.Oferta Monterrey,10-31-2019 23:59:00,16.158
Analisis.Oferta Monterrey,11-30-2019 23:59:00,16.158
Analisis.Oferta Monterrey,12-31-2019 23:59:00,15.9366
Analisis.Oferta Monterrey,01-31-2020 23:59:00,15.238
Analisis.Oferta Monterrey,02-29-2020 23:59:00,15.238
Analisis.Oferta Monterrey,03-31-2020 23:59:00,15.238
Analisis.Oferta Monterrey,04-30-2020 23:59:00,15.238
Analisis.Oferta Monterrey,05-31-2020 23:59:00,15.238
Analisis.Oferta Monterrey,06-30-2020 23:59:00,15.2619
Analisis.Oferta Monterrey,07-31-2020 23:59:00,12.0219
Analisis.Oferta Monterrey,08-31-2020 23:59:00,10.1495
Analisis.Oferta Monterrey,09-30-2020 23:59:00,10.8746
Analisis.Oferta Monterrey,10-31-2020 23:59:00,11.3074
Analisis.Oferta Monterrey,11-30-2020 23:59:00,11.3223
Analisis.Oferta Monterrey,12-31-2020 23:59:00,9.97184
Analisis.Oferta Monterrey,01-31-2021 23:59:00,9.838
Analisis.Oferta Monterrey,02-28-2021 23:59:00,9.87518
Analisis.Oferta Monterrey,03-31-2021 23:59:00,10.1916
Analisis.Oferta Monterrey,04-30-2021 23:59:00,10.3374
Analisis.Oferta Monterrey,05-31-2021 23:59:00,10.3644
Analisis.Oferta Monterrey,06-30-2021 23:59:00,16.158
Analisis.Oferta Monterrey,07-31-2021 23:59:00,16.158
Analisis.Oferta Monterrey,08-31-2021 23:59:00,16.158
Analisis.Oferta Monterrey,09-30-2021 23:59:00,16.158
Analisis.Oferta Monterrey,10-31-2021 23:59:00,16.158
Analisis.Oferta Monterrey,11-30-2021 23:59:00,16.158
Analisis.Oferta Monterrey,12-31-2021 23:59:00,16.158
Analisis.Oferta Monterrey,01-31-2022 23:59:00,16.158
Analisis.Oferta Monterrey,02-28-2022 23:59:00,16.158
Analisis.Oferta Monterrey,03-31-2022 23:59:00,16.158
Analisis.Oferta Monterrey,04-30-2022 23:59:00,16.158
Analisis.Oferta Monterrey,05-31-2022 23:59:00,16.158
Analisis.Oferta Monterrey,06-30-2022 23:59:00,16.158
Analisis.Oferta Monterrey,07-31-2022 23:59:00,16.158
Analisis.Oferta Monterrey,08-31-2022 23:59:00,16.158
Analisis.Oferta Monterrey,09-30-2022 23:59:00,16.0203
Analisis.Oferta Monterrey,10-31-2022 23:59:00,16.158
Analisis.Oferta Monterrey,11-30-2022 23:59:00,16.158
Analisis.Oferta Monterrey,12-31-2022 23:59:00,16.158
Analisis.Oferta Monterrey,01-31-2023 23:59:00,16.158
Analisis.Oferta Monterrey,02-28-2023 23:59:00,16.158
Analisis.Oferta Monterrey,03-31-2023 23:59:00,16.158
Analisis.Oferta Monterrey,04-30-2023 23:59:00,16.158
Analisis.Oferta Monterrey,05-31-2023 23:59:00,16.158
Analisis.Oferta Monterrey,06-30-2023 23:59:00,12.8111
Analisis.Oferta Monterrey,07-31-2023 23:59:00,12.8397
Analisis.Oferta Monterrey,08-31-2023 23:59:00,11.2547
Analisis.Oferta Monterrey,09-30-2023 23:59:00,16.158
Analisis.Oferta Monterrey,10-31-2023 23:59:00,16.158
Analisis.Oferta Monterrey,11-30-2023 23:59:00,16.158
Analisis.Oferta Monterrey,12-31-2023 23:59:00,16.158
Analisis.Oferta Monterrey,01-31-2024 23:59:00,16.158
Analisis.Oferta Monterrey,02-29-2024 23:59:00,16.158
Analisis.Oferta Monterrey,03-31-2024 23:59:00,16.158
Analisis.Oferta Monterrey,04-30-2024 23:59:00,16.158
Analisis.Oferta Monterrey,05-31-2024 23:59:00,16.158
Analisis.Oferta Monterrey,06-30-2024 23:59:00,16.158
Analisis.Oferta Monterrey,07-31-2024 23:59:00,16.158
Analisis.Oferta Monterrey,08-31-2024 23:59:00,16.158
Analisis.Oferta Monterrey,09-30-2024 23:59:00,16.158
Analisis.Oferta Monterrey,10-31-2024 23:59:00,16.158
Analisis.Oferta Monterrey,11-30-2024 23:59:00,16.158
Analisis.Oferta Monterrey,12-31-2024 23:59:00,16.158
Analisis.Oferta Monterrey,01-31-2025 23:59:00,16.158
Analisis.Oferta Monterrey,02-28-2025 23:59:00,15.0761
Analisis.Oferta Monterrey,03-31-2025 23:59:00,10.758
Analisis.Oferta Monterrey,04-30-2025 23:59:00,10.758
Analisis.Oferta Monterrey,05-31-2025 23:59:00,10.758
Analisis.Oferta Monterrey,06-30-2025 23:59:00,10.758
Analisis.Oferta Monterrey,07-31-2025 23:59:00,10.758
Analisis.Oferta Monterrey,08-31-2025 23:59:00,10.758
Analisis.Oferta Monterrey,09-30-2025 23:59:00,10.758
Analisis.Oferta Monterrey,10-31-2025 23:59:00,14.5489
Analisis.Oferta Monterrey,11-30-2025 23:59:00,16.158
Analisis.Oferta Monterrey,12-31-2025 23:59:00,16.158
Analisis.Oferta Monterrey,01-31-2026 23:59:00,10.9084
Analisis.Oferta Monterrey,02-28-2026 23:59:00,9.94232
Analisis.Oferta Monterrey,03-31-2026 23:59:00,9.78256
Analisis.Oferta Monterrey,04-30-2026 23:59:00,10.758
Analisis.Oferta Monterrey,05-31-2026 23:59:00,10.758
Analisis.Oferta Monterrey,06-30-2026 23:59:00,10.758
Analisis.Oferta Monterrey,07-31-2026 23:59:00,10.758
Analisis.Oferta Monterrey,08-31-2026 23:59:00,10.758
Analisis.Oferta Monterrey,09-30-2026 23:59:00,10.758
Analisis.Oferta Monterrey,10-31-2026 23:59:00,11.4996
Analisis.Oferta Monterrey,11-30-2026 23:59:00,11.1754
Analisis.Oferta Monterrey,12-31-2026 23:59:00,10.3153
